conversation_id,role,content,created_at
"f5095487-5ef2-4dbb-93fa-8bca70fcf849","user","Hello, what can you do?","2026-04-24T14:17:45.622638"
"f5095487-5ef2-4dbb-93fa-8bca70fcf849","assistant","Sorry, the AI service is temporarily unavailable. Please try again shortly.","2026-04-24T14:17:45.623574900"
"df6aeb33-0cc8-4654-8eb3-df16841ed1c6","user","Hello, what can you do?","2026-04-24T14:17:53.829335600"
"df6aeb33-0cc8-4654-8eb3-df16841ed1c6","assistant","Sorry, the AI service is temporarily unavailable. Please try again shortly.","2026-04-24T14:17:53.830337"
"test-1","user","What is the return policy?","2026-04-24T14:25:21.273883500"
"test-1","assistant","Sorry, the AI service is temporarily unavailable. Please try again shortly.","2026-04-24T14:25:21.280928"
"test-2","user","What is the return policy?","2026-04-24T14:25:36.322804900"
"test-2","assistant","Sorry, the AI service is temporarily unavailable. Please try again shortly.","2026-04-24T14:25:36.322804900"
"test-3","user","What is the return policy?","2026-04-24T14:26:10.563722800"
"test-3","assistant","Sorry, the AI service is temporarily unavailable. Please try again shortly.","2026-04-24T14:26:10.564717200"
"debug-1","user","What is the return policy?","2026-04-24T14:27:06.910271600"
"debug-1","assistant","Sorry, the AI service is temporarily unavailable. Please try again shortly.","2026-04-24T14:27:06.910271600"
"debug-2","user","What is the return policy?","2026-04-24T14:28:29.305905700"
"debug-2","assistant","LLM error [NonTransientAiException]: HTTP 404 - {""error"":{""message"":""No endpoints found for meta-llama/llama-3.1-8b-instruct:free."",""code"":404},""user_id"":""user_3CnQzk9XbqBYB1f4PtmdrLOhYDi""}","2026-04-24T14:28:29.306867500"
"final-test","user","What is the return policy?","2026-04-24T14:29:56.156906500"
"final-test","assistant","Sorry, the AI service is temporarily unavailable. Please try again shortly.","2026-04-24T14:29:56.156906500"
"gemma-test-1","user","What is the return policy?","2026-04-24T14:31:01.170676300"
"gemma-test-1","assistant","LLM error [NonTransientAiException]: HTTP 429 - {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""google/gemma-3-27b-it:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Google AI Studio"",""is_byok"":false}},""user_id"":""user_3CnQzk9XbqBYB1f4PtmdrLOhYDi""}","2026-04-24T14:31:01.171668900"
"liquid-test-1","user","What is the return policy?","2026-04-24T14:32:22.380155200"
"liquid-test-1","assistant","The return policy allows returns within 30 days of purchase, provided items are in original packaging. Refunds are processed within 5 business days. This information is from the company return policy document.

I don't have enough information to answer that.","2026-04-24T14:32:22.381157400"
"memory-test","user","What is the return policy?","2026-04-24T14:32:39.391058800"
"memory-test","assistant","The return policy allows customers to return items within 30 days of purchase, provided the items are in original packaging. Refunds are processed within 5 business days. I don't have enough information to answer that.","2026-04-24T14:32:39.391058800"
"memory-test","user","How many days exactly for the refund to process?","2026-04-24T14:32:41.828164800"
"memory-test","assistant","The refund is processed within 5 business days. I don't have enough information to answer that.","2026-04-24T14:32:41.828164800"
"string","user","Explain about work exp","2026-04-24T17:07:47.833347200"
"string","assistant","The work experience section describes the company's involvement in building and maintaining scalable systems, including deploying microservices on AWS, implementing CI/CD pipelines, and optimizing performance through indexing and Kafka. It also highlights reducing downtime, improving uptime, and enhancing system reliability. The context does not explicitly mention a ""work exp"" but covers related project details. 

I don't have enough information to answer that.","2026-04-24T17:07:47.834346500"
"string","user","I want exact project details","2026-04-24T17:09:51.174295300"
"string","assistant","The Jenkins CI/CD setup automated builds, tests, and deployments, reducing manual effort from a half-day to under 30 minutes. It improved release efficiency and supported integration with Flask and Python projects. I don't have enough information to answer that specific detail.","2026-04-24T17:09:51.174295300"
"conv-1777050679650","user","Employee Requisition Form","2026-04-24T22:41:24.793897800"
